Configuration,Trades,Win %,Avg Win,Avg Loss,PF,Net P&L,Max DD
0.15Δ / $5 / 50%,378,77.51%,$30.14,$-3.20,32.42,"$8,557.80",$-52.00
0.15Δ / $5 / 55%,378,78.31%,$33.65,$-3.00,40.45,"$9,713.20",$-45.12
0.15Δ / $5 / 60%,378,81.48%,$36.01,$-3.16,50.09,"$10,868.60",$-39.75
0.15Δ / $10 / 50%,379,81.00%,$26.13,$-4.37,25.47,"$7,705.75",$-107.70
0.15Δ / $10 / 55%,379,82.06%,$29.12,$-4.53,29.40,"$8,747.28",$-106.97
0.15Δ / $10 / 60%,379,84.70%,$31.44,$-5.21,33.40,"$9,788.80",$-106.25
0.15Δ / $15 / 50%,387,79.84%,$33.80,$-5.10,26.27,"$10,047.85",$-114.60
0.15Δ / $15 / 55%,387,80.62%,$37.67,$-5.18,30.23,"$11,365.10",$-113.70
0.15Δ / $15 / 60%,387,83.98%,$40.20,$-6.15,34.26,"$12,682.35",$-112.90
0.15Δ / $20 / 50%,381,80.31%,$30.41,$-2.67,46.40,"$9,105.30",$-44.00
0.15Δ / $20 / 55%,381,81.10%,$33.81,$-2.62,55.39,"$10,257.45",$-43.58
0.15Δ / $20 / 60%,381,85.04%,$35.78,$-3.20,63.62,"$11,409.60",$-43.15
0.15Δ / $25 / 50%,382,80.89%,$35.61,$-4.76,31.68,"$10,657.15",$-104.85
0.15Δ / $25 / 55%,382,81.68%,$39.59,$-4.85,36.35,"$12,011.08",$-104.77
0.15Δ / $25 / 60%,382,85.34%,$42.02,$-5.96,41.03,"$13,365.00",$-104.70
0.17Δ / $5 / 50%,388,79.38%,$28.06,$-2.65,40.70,"$8,429.40",$-63.50
0.17Δ / $5 / 55%,388,80.15%,$31.41,$-2.50,50.84,"$9,576.30",$-57.12
0.17Δ / $5 / 60%,388,82.73%,$33.95,$-2.58,62.93,"$10,723.20",$-50.75
0.17Δ / $10 / 50%,393,82.70%,$31.43,$-4.59,32.72,"$9,902.60",$-107.70
**0.17Δ / $10 / 55%**,393,83.72%,$34.92,$-4.78,37.53,"$11,183.50",$-106.97
0.17Δ / $10 / 60%,393,85.75%,$37.88,$-5.37,42.42,"$12,464.40",$-106.25
0.17Δ / $15 / 50%,392,81.63%,$33.20,$-5.42,27.24,"$10,234.35",$-114.60
0.17Δ / $15 / 55%,392,82.40%,$37.02,$-5.54,31.29,"$11,575.35",$-113.70
0.17Δ / $15 / 60%,392,85.20%,$39.80,$-6.47,35.41,"$12,916.35",$-112.90
0.17Δ / $20 / 50%,391,82.35%,$32.90,$-2.78,55.22,"$10,402.90",$-42.70
0.17Δ / $20 / 55%,391,82.86%,$36.66,$-2.76,64.29,"$11,693.85",$-42.68
0.17Δ / $20 / 60%,391,85.93%,$39.18,$-3.25,73.54,"$12,984.80",$-42.65
0.17Δ / $25 / 50%,390,82.56%,$37.62,$-5.05,35.29,"$11,769.40",$-104.85
0.17Δ / $25 / 55%,390,83.33%,$41.76,$-5.18,40.33,"$13,236.53",$-104.77
0.17Δ / $25 / 60%,390,86.15%,$44.75,$-6.13,45.40,"$14,703.65",$-104.70
0.20Δ / $5 / 50%,401,81.30%,$29.74,$-1.64,78.83,"$9,573.25",$-24.70
0.20Δ / $5 / 55%,401,82.29%,$33.18,$-1.61,95.68,"$10,835.63",$-23.00
0.20Δ / $5 / 60%,401,84.79%,$35.90,$-1.76,113.96,"$12,098.00",$-21.30
0.20Δ / $10 / 50%,410,83.66%,$32.76,$-6.21,27.00,"$10,819.85",$-107.70
0.20Δ / $10 / 55%,410,84.63%,$36.35,$-6.30,31.77,"$12,217.20",$-106.97
0.20Δ / $10 / 60%,410,86.59%,$39.42,$-6.89,36.95,"$13,614.55",$-106.25
0.20Δ / $15 / 50%,410,83.17%,$36.72,$-5.00,36.26,"$12,175.05",$-114.60
0.20Δ / $15 / 55%,410,84.15%,$40.78,$-5.18,41.77,"$13,731.08",$-113.70
0.20Δ / $15 / 60%,410,86.59%,$43.99,$-6.00,47.29,"$15,287.10",$-112.90
0.20Δ / $20 / 50%,404,84.41%,$35.11,$-2.23,85.19,"$11,833.05",$-41.80
0.20Δ / $20 / 55%,404,84.90%,$39.13,$-2.20,100.22,"$13,288.38",$-41.77
0.20Δ / $20 / 60%,404,87.62%,$42.01,$-2.57,115.78,"$14,743.70",$-41.75
0.20Δ / $25 / 50%,405,84.44%,$42.46,$-4.65,49.53,"$14,228.15",$-104.85
0.20Δ / $25 / 55%,405,85.19%,$47.09,$-4.78,56.65,"$15,959.80",$-104.77
0.20Δ / $25 / 60%,405,87.90%,$50.49,$-5.75,63.81,"$17,691.45",$-104.70
