ticker,name,asset_type,sector,industry,market_cap
NVDA,NVIDIA Corporation,Stock,Technology,Semiconductors,5253.2
AAPL,Apple Inc.,Stock,Technology,Consumer Electronics,4665.8
GOOGL,Alphabet Inc.,Stock,Communication Services,Internet Content & Information,4238.8
GOOG,Alphabet Inc.,Stock,Communication Services,Internet Content & Information,4193.4
MSFT,Microsoft Corporation,Stock,Technology,Software - Infrastructure,3813.2
AMZN,"Amazon.com, Inc.",Stock,Consumer Cyclical,Internet Retail,2873.8
VTI,Vanguard Morningstar Total Stock Market ETF,ETF,ETF,,2290.0
SPCX,Space Exploration Technologies Corp.,Stock,Industrials,Aerospace & Defense,1865.2
AVGO,Broadcom Inc.,Stock,Technology,Semiconductors,1754.5
VOO,Vanguard S&P 500 ETF,ETF,ETF,,1686.9
META,"Meta Platforms, Inc.",Stock,Communication Services,Internet Content & Information,1472.5
TSLA,"Tesla, Inc.",Stock,Consumer Cyclical,Auto Manufacturers,1377.4
BRK.A,Berkshire Hathaway Inc.,Stock,Financial Services,Insurance - Diversified,1081.8
BRK.B,Berkshire Hathaway Inc.,Stock,Financial Services,Insurance - Diversified,1081.1
MU,"Micron Technology, Inc.",Stock,Technology,Semiconductors,1053.6
LLY,Eli Lilly and Company,Stock,Healthcare,Drug Manufacturers - General,1047.4
JPM,JPMorgan Chase & Co.,Stock,Financial Services,Banks - Diversified,950.6
IVV,iShares Core S&P 500 ETF,ETF,ETF,,869.2
WMT,Walmart Inc.,Stock,Consumer Defensive,Discount Stores,820.4
SPY,State Street SPDR S&P 500 ETF Trust,ETF,ETF,,795.3
AMD,"Advanced Micro Devices, Inc.",Stock,Technology,Semiconductors,760.0
V,Visa Inc.,Stock,Financial Services,Credit Services,712.5
JNJ,Johnson & Johnson,Stock,Healthcare,Drug Manufacturers - General,645.9
VXUS,Vanguard Total International Stock ETF,ETF,ETF,,645.8
XOM,ExxonMobil Holdings Corporation,Stock,Energy,Oil & Gas Integrated,644.4
MA,Mastercard Incorporated,Stock,Financial Services,Credit Services,521.5
INTC,Intel Corporation,Stock,Technology,Semiconductors,470.1
QQQ,"Invesco QQQ Trust, Series 1",ETF,ETF,,452.8
ABBV,AbbVie Inc.,Stock,Healthcare,Drug Manufacturers - General,451.5
PLTR,Palantir Technologies Inc.,Stock,Technology,Software - Infrastructure,447.7
BAC,Bank of America Corporation,Stock,Financial Services,Banks - Diversified,435.8
ORCL,Oracle Corporation,Stock,Technology,Software - Infrastructure,434.5
CSCO,"Cisco Systems, Inc.",Stock,Technology,Communication Equipment,433.3
COST,Costco Wholesale Corporation,Stock,Consumer Defensive,Discount Stores,419.3
BND,Vanguard Total Bond Market ETF,ETF,ETF,,396.7
CVX,Chevron Corporation,Stock,Energy,Oil & Gas Integrated,396.0
KO,The Coca-Cola Company,Stock,Consumer Defensive,Beverages - Non-Alcoholic,385.8
LRCX,Lam Research Corporation,Stock,Technology,Semiconductor Equipment & Materials,377.8
VUG,Vanguard Morningstar Growth ETF,ETF,ETF,,372.0
CAT,Caterpillar Inc.,Stock,Industrials,Farm & Heavy Construction Machinery,367.9
AMAT,"Applied Materials, Inc.",Stock,Technology,Semiconductor Equipment & Materials,366.4
MRK,"Merck & Co., Inc.",Stock,Healthcare,Drug Manufacturers - General,366.0
GE,GE Aerospace,Stock,Industrials,Aerospace & Defense,355.4
UNH,UnitedHealth Group Incorporated,Stock,Healthcare,Healthcare Plans,352.7
NFLX,"Netflix, Inc.",Stock,Communication Services,Entertainment,340.3
MS,Morgan Stanley,Stock,Financial Services,Capital Markets,337.3
PG,The Procter & Gamble Company,Stock,Consumer Defensive,Household & Personal Products,334.2
HD,"The Home Depot, Inc.",Stock,Consumer Cyclical,Home Improvement Retail,329.4
VEA,Vanguard FTSE Developed Markets ETF,ETF,ETF,,314.9
PANW,"Palo Alto Networks, Inc.",Stock,Technology,Software - Infrastructure,302.8
GS,"The Goldman Sachs Group, Inc.",Stock,Financial Services,Capital Markets,301.1
PM,Philip Morris International Inc.,Stock,Consumer Defensive,Tobacco,299.1
DELL,Dell Technologies Inc.,Stock,Technology,Computer Hardware,294.8
RTX,RTX Corporation,Stock,Industrials,Aerospace & Defense,285.3
WFC,Wells Fargo & Company,Stock,Financial Services,Banks - Diversified,262.2
VTV,Vanguard Morningstar Value ETF,ETF,ETF,,256.4
ANET,"Arista Networks, Inc.",Stock,Technology,Computer Hardware,246.4
GEV,GE Vernova Inc.,Stock,Industrials,Specialty Industrial Machinery,242.9
TXN,Texas Instruments Incorporated,Stock,Technology,Semiconductors,236.2
AMGN,Amgen Inc.,Stock,Healthcare,Drug Manufacturers - General,233.8
TMO,Thermo Fisher Scientific Inc.,Stock,Healthcare,Diagnostics & Research,230.0
KLAC,KLA Corporation,Stock,Technology,Semiconductor Equipment & Materials,229.4
AXP,American Express Company,Stock,Financial Services,Credit Services,225.0
VO,Vanguard Morningstar Mid-Cap ETF,ETF,ETF,,224.7
CRWD,"CrowdStrike Holdings, Inc.",Stock,Technology,Software - Infrastructure,223.6
C,Citigroup Inc.,Stock,Financial Services,Banks - Diversified,222.9
IBM,International Business Machines Corporation,Stock,Technology,Information Technology Services,222.0
SNDK,Sandisk Corporation,Stock,Technology,Computer Hardware,217.4
CRM,"Salesforce, Inc.",Stock,Technology,Software - Application,210.7
VZ,Verizon Communications Inc.,Stock,Communication Services,Telecom Services,208.2
MRVL,"Marvell Technology, Inc.",Stock,Technology,Semiconductors,194.7
TMUS,"T-Mobile US, Inc.",Stock,Communication Services,Telecom Services,194.6
ABT,Abbott Laboratories,Stock,Healthcare,Medical Devices,194.6
APH,Amphenol Corporation,Stock,Technology,Electronic Components,194.5
PEP,"PepsiCo, Inc.",Stock,Consumer Defensive,Beverages - Non-Alcoholic,192.5
SCHW,The Charles Schwab Corporation,Stock,Financial Services,Capital Markets,190.5
IEFA,iShares Core MSCI EAFE ETF,ETF,ETF,,190.1
MCD,McDonald's Corporation,Stock,Consumer Cyclical,Restaurants,187.5
DIS,The Walt Disney Company,Stock,Communication Services,Entertainment,186.7
VB,Vanguard Morningstar Small-Cap ETF,ETF,ETF,,183.4
UNP,Union Pacific Corporation,Stock,Industrials,Railroads,182.6
GILD,"Gilead Sciences, Inc.",Stock,Healthcare,Drug Manufacturers - General,180.6
BLK,"BlackRock, Inc.",Stock,Financial Services,Asset Management,180.3
T,AT&T Inc.,Stock,Communication Services,Telecom Services,178.2
SCCO,Southern Copper Corporation,Stock,Basic Materials,Copper,177.1
QCOM,QUALCOMM Incorporated,Stock,Technology,Semiconductors,175.4
ADI,"Analog Devices, Inc.",Stock,Technology,Semiconductors,175.3
WELL,Welltower Inc.,Stock,Real Estate,REIT - Healthcare Facilities,171.5
NEE,"NextEra Energy, Inc.",Stock,Utilities,Utilities - Regulated Electric,170.7
DE,Deere & Company,Stock,Industrials,Farm & Heavy Construction Machinery,170.0
BA,The Boeing Company,Stock,Industrials,Aerospace & Defense,165.8
WDC,Western Digital Corporation,Stock,Technology,Computer Hardware,165.7
VWO,Vanguard FTSE Emerging Markets ETF,ETF,ETF,,162.0
UBER,"Uber Technologies, Inc.",Stock,Technology,Software - Application,161.0
VGT,Vanguard Information Tech ETF,ETF,ETF,,160.6
PFE,Pfizer Inc.,Stock,Healthcare,Drug Manufacturers - General,159.4
COP,ConocoPhillips,Stock,Energy,Oil & Gas E&P,158.8
BKNG,Booking Holdings Inc.,Stock,Consumer Cyclical,Travel Services,154.5
IEMG,iShares Core MSCI Emerging Markets ETF,ETF,ETF,,152.2
DHR,Danaher Corporation,Stock,Healthcare,Diagnostics & Research,151.9
NOW,"ServiceNow, Inc.",Stock,Technology,Software - Application,149.6
TJX,"The TJX Companies, Inc.",Stock,Consumer Cyclical,Apparel Retail,149.3
VRTX,Vertex Pharmaceuticals Incorporated,Stock,Healthcare,Biotechnology,137.3
AGG,iShares Core U.S. Aggregate Bond ETF,ETF,ETF,,137.1
BMY,Bristol-Myers Squibb Company,Stock,Healthcare,Drug Manufacturers - General,136.0
NEM,Newmont Corporation,Stock,Basic Materials,Gold,134.9
PLD,"Prologis, Inc.",Stock,Real Estate,REIT - Industrial,133.7
ISRG,"Intuitive Surgical, Inc.",Stock,Healthcare,Medical Instruments & Supplies,133.5
COF,Capital One Financial Corporation,Stock,Financial Services,Credit Services,132.3
VIG,Vanguard Div Appreciation ETF,ETF,ETF,,130.9
SPGI,S&P Global Inc.,Stock,Financial Services,Financial Data & Stock Exchanges,130.6
GLD,SPDR Gold Shares,ETF,ETF,,130.3
LMT,Lockheed Martin Corporation,Stock,Industrials,Aerospace & Defense,130.1
GLW,Corning Incorporated,Stock,Technology,Electronic Components,128.3
PGR,The Progressive Corporation,Stock,Financial Services,Insurance - Property & Casualty,127.1
SYK,Stryker Corporation,Stock,Healthcare,Medical Devices,126.8
PH,Parker-Hannifin Corporation,Stock,Industrials,Specialty Industrial Machinery,125.4
SBUX,Starbucks Corporation,Stock,Consumer Cyclical,Restaurants,122.9
BNDX,Vanguard Total International Bond ETF,ETF,ETF,,122.5
IJH,iShares Core S&P Mid-Cap ETF,ETF,ETF,,122.4
FTNT,"Fortinet, Inc.",Stock,Technology,Software - Infrastructure,121.8
IWF,iShares Russell 1000 Growth Fund,ETF,ETF,,121.2
CVS,CVS Health Corporation,Stock,Healthcare,Healthcare Plans,119.0
LOW,"Lowe's Companies, Inc.",Stock,Consumer Cyclical,Home Improvement Retail,116.7
ADBE,Adobe Inc.,Stock,Technology,Software - Application,115.9
XLK,State Street Technology Select Sector SPDR ETF,ETF,ETF,,115.4
MO,"Altria Group, Inc.",Stock,Consumer Defensive,Tobacco,114.6
ADP,"Automatic Data Processing, Inc.",Stock,Technology,Software - Application,114.2
SNOW,Snowflake Inc.,Stock,Technology,Software - Application,113.7
ABNB,"Airbnb, Inc.",Stock,Consumer Cyclical,Travel Services,111.7
BNY,The Bank of New York Mellon Corporation,Stock,Financial Services,Banks - Diversified,110.3
FCX,Freeport-McMoRan Inc.,Stock,Basic Materials,Copper,109.8
IJR,iShares Core S&P Small-Cap ETF,ETF,ETF,,109.6
BX,Blackstone Inc.,Stock,Financial Services,Asset Management,106.9
NET,"Cloudflare, Inc.",Stock,Technology,Software - Infrastructure,106.8
APP,AppLovin Corporation,Stock,Communication Services,Advertising Agencies,106.7
HWM,Howmet Aerospace Inc.,Stock,Industrials,Aerospace & Defense,105.6
MCK,McKesson Corporation,Stock,Healthcare,Medical Distribution,104.2
SCHD,Schwab US Dividend Equity ETF,ETF,ETF,,104.2
MPC,Marathon Petroleum Corporation,Stock,Energy,Oil & Gas Refining & Marketing,103.6
EQIX,"Equinix, Inc.",Stock,Real Estate,REIT - Specialty,103.1
CME,CME Group Inc.,Stock,Financial Services,Financial Data & Stock Exchanges,102.8
DASH,"DoorDash, Inc.",Stock,Consumer Cyclical,Internet Retail,102.6
GD,General Dynamics Corporation,Stock,Industrials,Aerospace & Defense,102.6
SO,The Southern Company,Stock,Utilities,Utilities - Regulated Electric,101.5
VLO,Valero Energy Corporation,Stock,Energy,Oil & Gas Refining & Marketing,101.5
SGOV,iShares 0-3 Month Treasury Bond ETF,ETF,ETF,,99.9
VYM,Vanguard High Dividend Yield ETF,ETF,ETF,,99.2
VRT,Vertiv Holdings Co,Stock,Industrials,Electrical Equipment & Parts,99.0
CEG,Constellation Energy Corporation,Stock,Utilities,Utilities - Independent Power Producers,98.1
INTU,Intuit Inc.,Stock,Technology,Software - Application,97.9
VT,Vanguard Total World Stock Index ETF,ETF,ETF,,97.9
KKR,KKR & Co. Inc.,Stock,Financial Services,Asset Management,97.6
PSX,Phillips 66,Stock,Energy,Oil & Gas Refining & Marketing,97.4
RSP,Invesco S&P 500 Equal Weight ETF,ETF,ETF,,97.3
USB,U.S. Bancorp,Stock,Financial Services,Banks - Regional,97.3
QQQM,Invesco NASDAQ 100 ETF,ETF,ETF,,97.1
PNC,"The PNC Financial Services Group, Inc.",Stock,Financial Services,Banks - Regional,96.6
CMCSA,Comcast Corporation,Stock,Communication Services,Telecom Services,96.0
VEU,Vanguard FTSE All World Ex US ETF,ETF,ETF,,95.9
CSX,CSX Corporation,Stock,Industrials,Railroads,95.0
ITOT,iShares Core S&P Total U.S. Stock Market ETF,ETF,ETF,,94.3
DUK,Duke Energy Corporation,Stock,Utilities,Utilities - Regulated Electric,93.8
CDNS,"Cadence Design Systems, Inc.",Stock,Technology,Software - Application,93.7
HOOD,"Robinhood Markets, Inc.",Stock,Financial Services,Capital Markets,93.7
VXF,Vanguard Extended Market ETF,ETF,ETF,,93.6
MRSH,"Marsh & McLennan Companies, Inc.",Stock,Financial Services,Insurance Brokers,91.9
MNST,Monster Beverage Corporation,Stock,Consumer Defensive,Beverages - Non-Alcoholic,91.8
MAR,"Marriott International, Inc.",Stock,Consumer Cyclical,Lodging,91.5
ICE,"Intercontinental Exchange, Inc.",Stock,Financial Services,Financial Data & Stock Exchanges,91.1
PWR,"Quanta Services, Inc.",Stock,Industrials,Engineering & Construction,90.6
HCA,"HCA Healthcare, Inc.",Stock,Healthcare,Medical Care Facilities,90.5
WMB,"The Williams Companies, Inc.",Stock,Energy,Oil & Gas Midstream,90.2
MMM,3M Company,Stock,Industrials,Conglomerates,89.9
UPS,"United Parcel Service, Inc.",Stock,Industrials,Integrated Freight & Logistics,89.6
MCO,Moody's Corporation,Stock,Financial Services,Financial Data & Stock Exchanges,89.2
WM,"Waste Management, Inc.",Stock,Industrials,Waste Management,87.8
EMR,Emerson Electric Co.,Stock,Industrials,Specialty Industrial Machinery,86.6
ELV,"Elevance Health, Inc.",Stock,Healthcare,Healthcare Plans,85.5
DDOG,"Datadog, Inc.",Stock,Technology,Software - Application,85.1
SLB,SLB N.V.,Stock,Energy,Oil & Gas Equipment & Services,85.1
SNPS,"Synopsys, Inc.",Stock,Technology,Software - Infrastructure,84.8
EPD,Enterprise Products Partners L.P.,Stock,Energy,Oil & Gas Midstream,84.3
SHW,The Sherwin-Williams Company,Stock,Basic Materials,Specialty Chemicals,83.7
